id,created_at,type,consumption_date_year,consumption_date_month,consumption_id,start_date,end_date,report_year,updated_at,domain_id,consumer_id,consumer_type,country_id,currency_id,location_type_id,fleet,main_engine_type,vehicle_type_id,fuel_type_id,ghg_protocol_scope,consumption_date_qtr,consumption_date_yq,consumption_date_ym,base_monthly_consumption,base_monthly_cost,monthly_consumption,monthly_cost,monthly_nb_employee,monthly_area
47,5/27/2003 08:13:14,diesel,17,92,91,10/8/2000,12/6/2018,4,5/10/2011 12:20:04,38,86,varchar(255),15,77,24,varchar(255),front-wheel drive,35,68,15,83,39,89,9108,16561,78915,11336,53.24,Europe Regional
48,3/29/2007 15:27:13,gasoline,12,65,98,6/28/2022,9/11/2015,66,1/30/2001 20:20:45,67,16,varchar(255),2,37,83,varchar(255),front-wheel drive,51,97,65,24,81,75,6438,8004,48430,3074,26.31,North America Office
49,6/8/2001 21:47:03,gasoline,11,70,15,7/24/2015,9/22/2010,67,5/14/2006 01:48:54,48,3,varchar(255),7,71,75,varchar(255),all-wheel drive,32,9,15,45,45,91,60396,1803,74349,11524,68.87,Europe Regional
50,11/27/2001 14:26:57,electric,19,1,11,2/7/2019,1/20/2004,85,6/27/2010 10:16:04,55,70,varchar(255),8,16,27,varchar(255),all-wheel drive,6,46,47,67,13,57,50745,15368,4997,8318,5.7,North America Office
51,7/11/2011 07:48:23,electric,72,47,57,7/11/2011,11/2/2014,50,11/18/2019 22:56:59,25,79,varchar(255),13,99,19,varchar(255),front-wheel drive,19,41,61,85,64,7,98568,14118,60796,10115,59.82,SEA Regional Office
52,5/7/2022 08:06:14,electric,69,94,98,8/17/2012,1/1/2006,36,9/1/2002 21:58:16,68,60,varchar(255),4,88,25,varchar(255),four-wheel drive,88,89,66,18,79,71,3787,4456,22855,8095,20.03,SEA Regional Office
53,11/22/2005 13:40:22,diesel,69,40,79,8/17/2017,1/2/2008,11,2/15/2023 08:25:27,6,76,varchar(255),9,94,84,varchar(255),all-wheel drive,13,84,31,11,8,75,44585,18496,92058,6687,66.87,GHG Emission
54,12/16/2001 22:33:59,diesel,24,76,82,3/17/2015,5/21/2016,72,3/27/2017 12:52:44,38,18,varchar(255),11,99,67,varchar(255),four-wheel drive,70,10,89,13,12,21,38660,5177,65614,3668,75.45,Europe Regional
55,10/12/2000 03:37:42,diesel,3,73,99,8/28/2006,8/5/2016,33,5/2/2007 01:57:13,87,42,varchar(255),14,61,88,varchar(255),four-wheel drive,69,80,39,74,46,18,99344,9616,2007,7089,97.72,SEA Regional Office
56,12/22/2004 08:02:42,diesel,51,96,68,2/27/2005,8/23/2013,13,8/16/2009 00:49:11,44,83,varchar(255),5,1,12,varchar(255),four-wheel drive,70,95,91,94,43,93,33692,8171,68116,19658,8.8,SEA Regional Office
57,3/30/2013 09:01:22,diesel,12,95,16,7/1/2021,11/12/2018,26,9/16/2016 06:33:29,60,85,varchar(255),9,75,82,varchar(255),four-wheel drive,55,15,64,72,60,79,59561,11611,57431,10636,73.85,Europe Regional
58,10/15/2002 15:10:49,electric,37,94,9,10/3/2022,5/21/2019,11,10/17/2017 10:41:14,52,36,varchar(255),14,43,10,varchar(255),all-wheel drive,19,91,48,74,62,97,99842,4618,68159,6551,41.89,GHG Emission
59,4/9/2019 05:08:48,hybrid,17,90,76,3/3/2018,11/11/2009,53,3/8/2016 00:12:00,79,27,varchar(255),3,8,53,varchar(255),all-wheel drive,78,36,74,29,26,83,92537,1735,74273,8033,43.75,Asia Regional Office
60,6/27/2008 13:22:39,gasoline,58,50,73,12/26/2022,8/21/2001,29,7/16/2015 16:06:00,47,38,varchar(255),12,33,73,varchar(255),rear-wheel drive,76,48,42,64,6,66,25949,16824,41737,3682,21.56,North America Office
61,2/5/2007 22:40:45,electric,20,90,73,6/26/2005,1/9/2013,1,7/18/2001 17:30:10,35,98,varchar(255),1,27,95,varchar(255),four-wheel drive,99,37,36,98,93,8,95725,13546,1593,10399,46.63,GHG Emission
62,12/22/2010 17:48:20,gasoline,43,91,26,7/27/2010,5/23/2021,88,9/4/2011 14:56:27,60,77,varchar(255),14,82,84,varchar(255),front-wheel drive,98,61,92,18,83,95,53506,6758,20455,8031,4.04,North America Office
63,6/11/2021 06:21:07,gasoline,45,39,50,7/23/2021,5/19/2019,8,12/21/2008 10:17:07,7,88,varchar(255),1,68,54,varchar(255),all-wheel drive,19,1,94,94,73,47,87460,12151,81268,2366,13.58,North America Office
64,1/27/2022 18:10:18,diesel,99,18,27,8/20/2012,7/30/2014,7,10/14/2004 07:10:11,91,70,varchar(255),2,65,32,varchar(255),four-wheel drive,71,28,10,70,24,10,82449,8010,62637,14168,67.4,GHG Emission
65,3/3/2020 10:27:33,gasoline,58,73,90,12/8/2004,9/17/2002,26,5/29/2023 06:06:17,48,69,varchar(255),4,34,34,varchar(255),front-wheel drive,12,59,29,92,90,95,79844,5911,61016,17858,69.5,SEA Regional Office
66,12/16/2000 03:19:22,gasoline,89,76,78,6/11/2014,4/27/2013,20,3/25/2022 13:06:56,97,88,varchar(255),11,11,59,varchar(255),four-wheel drive,20,59,88,31,44,43,45187,10095,98342,18337,93.47,GHG Emission
67,1/6/2011 17:53:18,gasoline,12,65,94,11/12/2022,6/13/2006,66,10/11/2019 23:50:31,81,69,varchar(255),3,78,1,varchar(255),front-wheel drive,51,45,72,32,26,87,16580,15689,38525,1818,29.36,SEA Regional Office
68,9/3/2006 17:10:24,electric,91,85,28,7/31/2010,9/12/2006,35,8/10/2018 16:18:00,37,86,varchar(255),10,76,51,varchar(255),four-wheel drive,72,67,8,8,88,81,70076,1922,11142,4877,25.38,Europe Regional
69,8/10/2011 11:32:11,gasoline,39,41,40,7/19/2012,4/14/2004,20,10/18/2011 03:49:01,4,100,varchar(255),3,97,63,varchar(255),four-wheel drive,80,55,44,57,43,54,70644,1599,19018,13996,41.8,Europe Regional
70,3/31/2022 00:56:53,diesel,41,4,49,9/22/2016,1/27/2000,52,6/18/2007 12:56:04,28,15,varchar(255),3,1,74,varchar(255),front-wheel drive,79,17,38,15,33,20,49194,17815,76112,3288,94.89,Europe Regional
71,4/29/2000 18:10:22,hybrid,17,14,1,4/29/2015,9/13/2023,48,12/2/2011 23:06:40,85,7,varchar(255),6,98,33,varchar(255),four-wheel drive,41,50,58,82,81,51,8837,4536,77785,12634,42.17,North America Office
72,6/30/2014 09:10:52,gasoline,47,84,3,3/7/2018,12/18/2014,31,5/19/2015 05:17:31,24,27,varchar(255),4,92,21,varchar(255),rear-wheel drive,58,36,90,78,8,30,87325,19069,63461,1884,35.46,SEA Regional Office
73,7/22/2021 18:40:21,diesel,17,28,98,2/9/2015,2/2/2016,14,9/4/2015 18:23:12,13,91,varchar(255),9,64,29,varchar(255),rear-wheel drive,55,86,75,78,14,38,91740,6333,12513,18705,95.52,Europe Regional
74,7/3/2020 19:54:50,electric,63,61,92,9/27/2007,1/21/2017,55,1/9/2014 23:07:59,60,12,varchar(255),4,89,57,varchar(255),rear-wheel drive,6,63,2,60,54,56,3647,13436,11845,15227,94.77,GHG Emission
75,8/18/2017 02:31:09,electric,26,71,10,12/2/2003,1/24/2003,50,4/2/2016 10:53:00,99,85,varchar(255),15,47,31,varchar(255),four-wheel drive,42,40,55,24,33,16,46191,8841,86246,1120,43.11,Asia Regional Office
76,6/14/2013 19:41:12,gasoline,11,52,35,8/26/2003,3/21/2018,28,4/11/2005 13:09:44,56,24,varchar(255),9,61,57,varchar(255),four-wheel drive,40,27,51,98,19,30,26540,14475,92155,16532,8.06,North America Office
77,8/21/2010 23:03:15,electric,44,76,43,12/3/2004,8/13/2011,58,6/18/2001 19:00:11,69,36,varchar(255),14,52,56,varchar(255),front-wheel drive,26,11,6,32,63,96,31868,6817,79823,4442,4.71,Asia Regional Office
78,1/10/2022 01:11:42,diesel,59,63,31,4/11/2017,3/4/2003,4,3/29/2006 01:35:03,50,71,varchar(255),14,63,88,varchar(255),rear-wheel drive,60,32,75,62,1,53,96684,15863,35208,19448,33.79,GHG Emission
79,12/15/2015 11:35:16,gasoline,26,73,54,7/5/2014,7/26/2020,88,3/13/2021 22:56:21,52,5,varchar(255),12,55,69,varchar(255),all-wheel drive,62,21,63,68,32,97,34817,7523,92394,6800,59.73,Europe Regional
80,8/18/2011 06:07:08,electric,41,33,16,11/16/2023,5/23/2017,2,6/25/2010 08:11:19,98,1,varchar(255),14,2,8,varchar(255),all-wheel drive,43,96,70,49,95,47,67340,10962,15960,10709,86.76,SEA Regional Office
81,10/23/2009 11:39:10,diesel,86,86,9,5/7/2018,1/30/2010,6,6/23/2015 05:40:30,1,55,varchar(255),13,33,4,varchar(255),four-wheel drive,63,91,87,85,58,16,37497,12599,28937,3952,72.23,North America Office
82,11/18/2017 09:31:01,electric,62,61,16,1/19/2010,5/1/2008,88,4/2/2014 23:27:28,84,79,varchar(255),10,15,59,varchar(255),four-wheel drive,39,95,36,52,45,57,73379,19422,77684,16696,38.74,North America Office
83,10/12/2012 20:39:54,gasoline,27,15,56,4/24/2005,4/20/2014,94,2/20/2013 03:24:06,65,8,varchar(255),15,6,69,varchar(255),rear-wheel drive,13,22,48,47,34,35,36590,5171,94555,15599,96.24,North America Office
84,5/21/2006 21:06:12,electric,96,44,20,2/1/2013,12/9/2021,45,8/3/2009 10:16:46,75,79,varchar(255),2,89,68,varchar(255),all-wheel drive,24,53,41,1,69,77,89452,16926,74476,9529,9.51,Asia Regional Office
85,7/27/2018 13:13:36,gasoline,75,26,28,8/23/2002,12/21/2005,16,3/22/2022 07:47:13,34,97,varchar(255),12,65,76,varchar(255),rear-wheel drive,66,35,21,43,24,40,63705,10164,78598,13671,58.12,Europe Regional
86,12/5/2001 15:35:10,hybrid,57,36,39,3/10/2006,11/15/2014,48,2/6/2002 14:10:16,39,48,varchar(255),6,61,37,varchar(255),all-wheel drive,13,82,88,29,19,24,109,921,5822,12030,16.62,Asia Regional Office
87,7/5/2007 05:38:24,hybrid,67,23,35,11/21/2016,12/15/2023,59,8/10/2021 21:35:07,79,86,varchar(255),11,42,2,varchar(255),rear-wheel drive,53,54,71,66,43,84,56045,2181,82436,10804,56.65,Europe Regional
88,10/24/2016 20:55:21,hybrid,71,60,10,5/14/2004,5/26/2021,98,3/1/2009 02:19:45,48,93,varchar(255),4,33,25,varchar(255),front-wheel drive,32,18,77,88,79,45,98960,5604,84945,6600,87.16,North America Office
89,12/19/2014 05:14:26,gasoline,29,69,80,4/29/2013,8/17/2004,42,11/10/2017 20:50:15,86,71,varchar(255),5,16,92,varchar(255),front-wheel drive,23,30,3,99,40,1,44566,10213,71530,4548,98.95,SEA Regional Office
90,8/15/2001 22:20:59,electric,28,85,61,9/10/2007,8/29/2006,53,12/15/2021 17:29:01,11,24,varchar(255),14,39,1,varchar(255),rear-wheel drive,57,76,68,89,69,45,92425,16467,5644,13518,67.43,GHG Emission
91,12/15/2008 10:43:37,diesel,12,17,45,5/14/2012,1/29/2012,71,8/27/2016 15:30:33,32,77,varchar(255),5,14,72,varchar(255),all-wheel drive,46,32,15,23,10,86,47011,15650,32592,3305,88.4,North America Office
92,9/26/2008 01:14:44,diesel,5,99,23,10/1/2022,8/31/2011,59,8/31/2003 13:44:05,32,26,varchar(255),9,80,14,varchar(255),front-wheel drive,7,37,55,52,59,86,43586,3382,10753,14973,80.42,SEA Regional Office
93,12/13/2014 05:47:24,gasoline,65,64,39,3/17/2004,1/24/2022,65,9/16/2002 09:23:30,58,46,varchar(255),9,56,78,varchar(255),front-wheel drive,2,18,72,5,88,55,39904,6050,80165,12066,30.98,Asia Regional Office
94,3/6/2022 01:46:06,diesel,97,61,38,6/30/2016,12/27/2007,44,3/19/2002 12:40:36,63,73,varchar(255),13,13,20,varchar(255),all-wheel drive,62,89,44,62,87,65,94825,15991,90368,6828,35.83,North America Office
95,2/20/2009 07:14:30,gasoline,34,97,69,8/3/2003,8/20/2022,33,2/10/2023 03:22:01,64,57,varchar(255),3,13,18,varchar(255),all-wheel drive,38,26,23,66,87,87,40028,5965,52827,10325,50.95,Asia Regional Office
96,3/25/2017 06:10:57,hybrid,15,4,87,11/2/2016,6/2/2003,93,8/24/2004 20:35:19,50,11,varchar(255),2,36,25,varchar(255),four-wheel drive,35,59,100,100,55,13,2099,15794,15732,10534,25.93,SEA Regional Office
97,3/5/2023 05:32:34,gasoline,16,50,93,8/6/2015,8/22/2011,51,11/25/2004 13:46:06,74,6,varchar(255),1,73,77,varchar(255),all-wheel drive,44,23,97,15,29,18,36027,9440,55812,18181,26.61,Europe Regional
98,2/25/2011 09:54:17,hybrid,34,28,20,12/9/2011,5/17/2005,68,3/12/2013 17:48:34,33,40,varchar(255),4,75,91,varchar(255),front-wheel drive,80,98,35,66,81,58,94680,13692,78800,18559,96.94,North America Office
99,10/21/2023 00:03:08,gasoline,8,28,39,8/20/2007,1/11/2022,1,2/16/2023 23:16:02,14,56,varchar(255),1,70,42,varchar(255),four-wheel drive,64,28,26,46,50,21,97815,19631,70936,6732,42.22,Europe Regional
100,6/13/2004 14:42:58,gasoline,61,52,82,3/13/2013,11/21/2020,8,8/14/2002 17:29:10,23,35,varchar(255),11,45,74,varchar(255),all-wheel drive,69,30,48,92,26,28,842,13589,37491,18038,28.4,GHG Emission
101,6/28/2009 09:34:23,diesel,52,96,9,6/7/2006,5/5/2019,85,1/10/2022 19:45:49,17,84,varchar(255),12,22,97,varchar(255),four-wheel drive,61,45,100,7,35,83,56343,16233,12444,19379,46.76,SEA Regional Office
102,6/19/2004 12:02:00,diesel,95,90,59,10/21/2021,3/26/2023,21,12/25/2020 07:53:48,39,85,varchar(255),3,8,81,varchar(255),all-wheel drive,97,57,84,72,63,60,6472,4404,11568,1354,65.51,North America Office
103,5/15/2008 01:36:20,gasoline,91,80,20,12/23/2008,7/19/2007,91,5/15/2008 00:08:48,33,15,varchar(255),7,58,34,varchar(255),rear-wheel drive,86,53,60,86,87,72,44795,6980,45180,4215,82.86,GHG Emission
104,11/3/2015 09:07:28,diesel,48,94,49,5/28/2008,9/12/2022,54,5/9/2013 00:30:49,47,60,varchar(255),7,91,10,varchar(255),rear-wheel drive,36,1,83,8,43,5,27375,11673,32300,5890,84.19,Europe Regional
105,2/14/2003 07:53:23,gasoline,98,81,55,7/18/2017,4/14/2017,28,10/7/2000 02:18:47,67,29,varchar(255),11,45,43,varchar(255),four-wheel drive,22,29,76,54,50,6,64032,12570,89388,8462,47.18,North America Office
106,5/22/2010 14:00:21,electric,8,14,16,6/23/2009,4/5/2018,3,7/8/2010 03:53:49,56,78,varchar(255),1,68,44,varchar(255),rear-wheel drive,62,84,81,87,63,48,86806,192,41696,11194,83.66,Europe Regional
107,9/28/2004 08:59:53,gasoline,32,28,99,10/30/2010,4/27/2008,29,7/31/2019 21:46:26,68,39,varchar(255),10,62,70,varchar(255),rear-wheel drive,64,24,13,73,100,37,15673,10501,15487,13383,37.95,Europe Regional
108,1/5/2003 18:29:49,hybrid,24,15,25,5/20/2023,5/1/2013,15,6/30/2003 03:42:52,12,77,varchar(255),1,20,89,varchar(255),rear-wheel drive,38,5,14,96,25,60,59700,11917,86149,9476,60.75,Asia Regional Office
109,8/25/2020 20:09:21,diesel,5,1,50,1/6/2011,7/8/2004,60,5/15/2002 00:21:27,54,60,varchar(255),3,11,56,varchar(255),front-wheel drive,17,19,5,8,90,56,20711,7629,24653,2030,10.4,SEA Regional Office
110,1/11/2009 06:53:34,gasoline,27,49,10,6/30/2023,3/30/2018,91,2/12/2011 01:19:28,84,32,varchar(255),4,79,19,varchar(255),front-wheel drive,66,39,64,79,15,27,49482,18156,1350,10137,42.88,SEA Regional Office
111,9/27/2014 20:10:09,gasoline,39,54,32,12/31/2003,11/14/2001,52,7/5/2006 18:23:17,47,96,varchar(255),5,16,95,varchar(255),front-wheel drive,66,94,3,31,66,37,46010,17471,28772,5967,16.39,Asia Regional Office
112,2/11/2023 01:47:49,gasoline,78,78,92,6/23/2017,4/6/2016,22,11/28/2012 13:55:47,12,50,varchar(255),11,78,21,varchar(255),rear-wheel drive,77,35,9,71,22,35,84427,14984,8413,496,35.82,Europe Regional
113,6/27/2017 13:38:47,diesel,67,35,1,6/6/2022,5/7/2004,13,4/4/2019 01:13:24,99,91,varchar(255),2,8,92,varchar(255),front-wheel drive,29,11,88,28,21,85,94130,9655,1200,18542,64.5,Asia Regional Office
